time,X,Y,Vx,Vy,Ax,Ay
0.6935338,3.633E+08,750.4036,-0.002093064,1082,-0.00301797,-6.156849E-09
0.6935338,3.5786E+07,2313.843,-0.2156866,3336.309,-0.3109965,-1.969648E-05
0.7103248,9.846636E-06,-9.453996,2.636956E-05,-13.3094,3.712325E-05,7.762204E-11
0.7103248,3.633E+08,768.5715,-0.002143739,1082,-0.00301797,-6.312213E-09
0.7103248,3.5786E+07,2369.863,-0.2209085,3336.309,-0.3109965,-2.019368E-05
0.7269948,1.029653E-05,-9.675863,2.698841E-05,-13.3094,3.712325E-05,7.950133E-11
0.7269948,3.633E+08,786.6084,-0.002194048,1082,-0.00301797,-6.464979E-09
0.7269948,3.5786E+07,2425.479,-0.2260928,3336.309,-0.3109965,-2.068252E-05
0.7436797,1.075717E-05,-9.897929,2.76078E-05,-13.3094,3.712325E-05,8.136707E-11
0.7436797,3.633E+08,804.6614,-0.002244403,1082,-0.00301797,-6.616658E-09
0.7436797,3.5786E+07,2481.145,-0.2312818,3336.309,-0.3109965,-2.116786E-05
0.7603497,1.12277E-05,-10.1198,2.822665E-05,-13.3094,3.712325E-05,8.323449E-11
0.7603497,3.633E+08,822.6984,-0.002294712,1082,-0.00301797,-6.76847E-09
0.7603497,3.5786E+07,2536.761,-0.2364661,3336.309,-0.3109965,-2.165363E-05
0.7770197,1.170856E-05,-10.34166,2.884549E-05,-13.3094,3.712325E-05,8.510024E-11
0.7770197,3.633E+08,840.7353,-0.002345022,1082,-0.00301797,-6.920147E-09
0.7770197,3.5786E+07,2592.377,-0.2416504,3336.309,-0.3109965,-2.213896E-05
0.7936897,1.219973E-05,-10.56353,2.946434E-05,-13.3094,3.712325E-05,8.696598E-11
0.7936897,3.633E+08,858.7722,-0.002395331,1082,-0.00301797,-7.071825E-09
0.7936897,3.5786E+07,2647.993,-0.2468347,3336.309,-0.3109965,-2.26243E-05
0.8117317,1.274341E-05,-10.80366,3.013411E-05,-13.3094,3.712325E-05,8.883173E-11
0.8117317,3.633E+08,878.2936,-0.002449782,1082,-0.00301797,-7.223654E-09
0.8117317,3.5786E+07,2708.187,-0.2524457,3336.309,-0.3109965,-2.310979E-05
0.8284954,1.3259E-05,-11.02678,3.075644E-05,-13.3094,3.712325E-05,9.085104E-11
0.8284954,3.633E+08,896.4319,-0.002500374,1082,-0.00301797,-7.387674E-09
0.8284954,3.5786E+07,2764.116,-0.2576591,3336.309,-0.3109965,-2.363492E-05
0.8451654,1.378203E-05,-11.24864,3.137528E-05,-13.3094,3.712325E-05,9.272727E-11
0.8451654,3.633E+08,914.4689,-0.002550683,1082,-0.00301797,-7.540194E-09
0.8451654,3.5786E+07,2819.732,-0.2628435,3336.309,-0.3109965,-2.412297E-05
0.862215,1.432775E-05,-11.47556,3.200822E-05,-13.3094,3.712325E-05,9.459301E-11
0.862215,3.633E+08,932.9166,-0.002602139,1082,-0.00301797,-7.691914E-09
0.862215,3.5786E+07,2876.615,-0.2681458,3336.309,-0.3109965,-2.460835E-05
0.878885,1.487165E-05,-11.69743,3.262706E-05,-13.3094,3.712325E-05,9.650125E-11
0.878885,3.633E+08,950.9535,-0.002652448,1082,-0.00301797,-7.847004E-09
0.878885,3.5786E+07,2932.231,-0.2733302,3336.309,-0.3109965,-2.51047E-05
0.895555,1.542586E-05,-11.9193,3.324591E-05,-13.3094,3.712325E-05,9.8367E-11
0.895555,3.633E+08,968.9904,-0.002702758,1082,-0.00301797,-7.998681E-09
0.895555,3.5786E+07,2987.847,-0.2785145,3336.309,-0.3109965,-2.559003E-05
0.9123173,1.599356E-05,-12.14239,3.386818E-05,-13.3094,3.712325E-05,1.002327E-10
0.9123173,3.633E+08,987.1272,-0.002753346,1082,-0.00301797,-8.150369E-09
0.9123173,3.5786E+07,3043.772,-0.2837275,3336.309,-0.3109965,-2.607538E-05
0.9289873,1.656846E-05,-12.36426,3.448703E-05,-13.3094,3.712325E-05,1.021088E-10
0.9289873,3.633E+08,1005.164,-0.002803655,1082,-0.00301797,-8.302876E-09
0.9289873,3.5786E+07,3099.388,-0.2889118,3336.309,-0.3109965,-2.656339E-05
0.9456573,1.715368E-05,-12.58613,3.510587E-05,-13.3094,3.712325E-05,1.039746E-10
0.9456573,3.633E+08,1023.201,-0.002853965,1082,-0.00301797,-8.454554E-09
0.9456573,3.5786E+07,3155.004,-0.2940961,3336.309,-0.3109965,-2.704873E-05
0.9623273,1.774921E-05,-12.808,3.572472E-05,-13.3094,3.712325E-05,1.058403E-10
0.9623273,3.633E+08,1041.238,-0.002904275,1082,-0.00301797,-8.606231E-09
0.9623273,3.5786E+07,3210.62,-0.2992805,3336.309,-0.3109965,-2.753406E-05
0.9789973,1.835506E-05,-13.02986,3.634356E-05,-13.3094,3.712325E-05,1.077061E-10
0.9789973,3.633E+08,1059.275,-0.002954584,1082,-0.00301797,-8.75791E-09
0.9789973,3.5786E+07,3266.237,-0.3044648,3336.309,-0.3109965,-2.801939E-05
0.9959577,1.898214E-05,-13.2556,3.697319E-05,-13.3094,3.712325E-05,1.095718E-10
0.9959577,3.633E+08,1077.626,-0.00300577,1082,-0.00301797,-8.90962E-09
0.9959577,3.5786E+07,3322.822,-0.3097394,3336.309,-0.3109965,-2.850476E-05
1.0126964,1.961142E-05,-13.47838,3.759459E-05,-13.3094,3.712325E-05,1.114701E-10
1.0126964,3.633E+08,1095.738,-0.003056287,1082,-0.00301797,-9.063916E-09
1.0126964,3.5786E+07,3378.667,-0.3149451,3336.309,-0.3109965,-2.899853E-05
1.0293664,2.024844E-05,-13.70025,3.821343E-05,-13.3094,3.712325E-05,1.133435E-10
1.0293664,3.633E+08,1113.775,-0.003106596,1082,-0.00301797,-9.216211E-09
1.0293664,3.5786E+07,3434.283,-0.3201294,3336.309,-0.3109965,-2.948585E-05
1.1265828,2.431426E-05,-14.99414,4.182242E-05,-13.3094,3.712325E-05,1.152093E-10
1.1265828,3.633E+08,1218.963,-0.003399993,1082,-0.00301797,-9.376794E-09
1.1265828,3.5786E+07,3758.627,-0.3503634,3336.309,-0.3109965,-2.99805E-05
1.1462099,2.514942E-05,-15.25536,4.255104E-05,-13.3094,3.712325E-05,1.2609E-10
1.1462099,3.633E+08,1240.199,-0.003459227,1082,-0.00301797,-1.025277E-08
1.1462099,3.5786E+07,3824.11,-0.3564673,3336.309,-0.3109965,-3.280192E-05
1.1646265,2.594565E-05,-15.50048,4.323473E-05,-13.3094,3.712325E-05,1.282867E-10
1.1646265,3.633E+08,1260.126,-0.003514807,1082,-0.00301797,-1.043122E-08
1.1646265,3.5786E+07,3885.553,-0.3621948,3336.309,-0.3109965,-3.337321E-05
1.183155,2.675947E-05,-15.74708,4.392257E-05,-13.3094,3.712325E-05,1.303479E-10
1.183155,3.633E+08,1280.174,-0.003570726,1082,-0.00301797,-1.059881E-08
1.183155,3.5786E+07,3947.37,-0.3679571,3336.309,-0.3109965,-3.390941E-05
1.2016853,2.758612E-05,-15.99371,4.461047E-05,-13.3094,3.712325E-05,1.324217E-10
1.2016853,3.633E+08,1300.224,-0.00362665,1082,-0.00301797,-1.076739E-08
1.2016853,3.5786E+07,4009.193,-0.37372,3336.309,-0.3109965,-3.444885E-05
1.2200627,2.841848E-05,-16.2383,4.52927E-05,-13.3094,3.712325E-05,1.344956E-10
1.2200627,3.633E+08,1320.108,-0.003682112,1082,-0.00301797,-1.093598E-08
1.2200627,3.5786E+07,4070.505,-0.3794353,3336.309,-0.3109965,-3.498833E-05
1.2369558,2.919421E-05,-16.46313,4.591983E-05,-13.3094,3.712325E-05,1.365525E-10
1.2369558,3.633E+08,1338.386,-0.003733095,1082,-0.00301797,-1.110303E-08
1.2369558,3.5786E+07,4126.866,-0.384689,3336.309,-0.3109965,-3.55232E-05
1.2538247,2.997939E-05,-16.68765,4.654605E-05,-13.3094,3.712325E-05,1.384432E-10
1.2538247,3.633E+08,1356.639,-0.003784005,1082,-0.00301797,-1.125674E-08
1.2538247,3.5786E+07,4183.146,-0.3899352,3336.309,-0.3109965,-3.601503E-05
1.2707474,3.07777E-05,-16.91288,4.717428E-05,-13.3094,3.712325E-05,1.403312E-10
1.2707474,3.633E+08,1374.949,-0.003835077,1082,-0.00301797,-1.141023E-08
1.2707474,3.5786E+07,4239.605,-0.3951981,3336.309,-0.3109965,-3.650617E-05
1.2934979,-599.9999,-417.2157,4.801885E-05,-13.3094,3.712325E-05,1.422252E-10
1.2934979,3.632994E+08,999.5649,-0.003903737,1082,-0.00301797,-1.156485E-08
1.2934979,3.57854E+07,3915.508,-0.4022734,3336.309,-0.3109965,-3.699953E-05
1.3122431,-599.9999,-417.4651,4.871473E-05,-13.3094,3.712325E-05,1.447715E-10
1.3122431,3.632994E+08,1019.847,-0.00396031,1082,-0.00301797,-1.177141E-08
1.3122431,3.57854E+07,3978.048,-0.4081031,3336.309,-0.3109965,-3.766143E-05
1.3294532,-599.9999,-417.6942,4.935363E-05,-13.3094,3.712325E-05,1.468695E-10
1.3294532,3.632994E+08,1038.469,-0.004012249,1082,-0.00301797,-1.19418E-08
1.3294532,3.57854E+07,4035.466,-0.4134554,3336.309,-0.3109965,-3.820701E-05
1.3463862,-599.9999,-417.9196,4.998223E-05,-13.3094,3.712325E-05,1.487957E-10
1.3463862,3.632994E+08,1056.79,-0.004063352,1082,-0.00301797,-1.209836E-08
1.3463862,3.57854E+07,4091.96,-0.4187215,3336.309,-0.3109965,-3.870804E-05
1.3631958,-599.9999,-418.1433,5.060626E-05,-13.3094,3.712325E-05,1.506909E-10
1.3631958,3.632994E+08,1074.978,-0.004114083,1082,-0.00301797,-1.225242E-08
1.3631958,3.57854E+07,4148.042,-0.4239492,3336.309,-0.3109965,-3.920102E-05
1.3798658,-599.9999,-418.3652,5.122511E-05,-13.3094,3.712325E-05,1.525723E-10
1.3798658,3.632994E+08,1093.015,-0.004164393,1082,-0.00301797,-1.240535E-08
1.3798658,3.57854E+07,4203.658,-0.4291335,3336.309,-0.3109965,-3.96904E-05
